text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @alpeninitiative: «Ich weiss nicht, was für unsere Kinder übrig bleiben wird. Du siehst die Spuren des Gletschers, aber er ist nicht meh…",FALSE,0,,2021-05-13T20:03:19Z,FALSE,,1392933497141092353,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LuciaLauener,2,TRUE,FALSE,,
"RT @alpeninitiative: «Ich weiss nicht, was für unsere Kinder übrig bleiben wird. Du siehst die Spuren des Gletschers, aber er ist nicht meh…",FALSE,0,,2021-05-13T07:42:14Z,FALSE,,1392746994461036544,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KlimaAllianzCH,2,TRUE,FALSE,,
"«Ich weiss nicht, was für unsere Kinder übrig bleiben wird. Du siehst die Spuren des Gletschers, aber er ist nicht… https://t.co/HAg9CghquF",FALSE,9,,2021-05-13T07:30:12Z,TRUE,,1392743968396414978,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",alpeninitiative,2,FALSE,FALSE,,
"welche, die gibts, die freuen sich auf den baldigen weltuntergang. sie werden Nein zum #JaCO2Gesetz stimmen, damit… https://t.co/a9Hdmk7O0a",FALSE,1,,2021-05-12T05:28:12Z,TRUE,,1392350878514941956,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sebastian_hefti,0,FALSE,FALSE,,
"RT @swisscleantechD: Lignum-Präsident und Ständerat @svpTG Jakob Stark erklärt, warum ein Ja zum #CO2Gesetz am 13. Juni sinnvoll ist. #klim…",FALSE,0,,2021-05-10T15:19:15Z,FALSE,,1391774845340422148,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",LoiCO2Oui,1,TRUE,FALSE,,
RT @alpeninitiative: Argument # 1 für ein JA zum CO2-Gesetz: Der sparsamere CO2-Ausstoss bremst den vor allem im Alpenraum besonders verhee…,FALSE,0,,2021-05-10T15:16:17Z,FALSE,,1391774098066448390,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Zbinden_s,2,TRUE,FALSE,,
RT @alpeninitiative: Argument # 1 für ein JA zum CO2-Gesetz: Der sparsamere CO2-Ausstoss bremst den vor allem im Alpenraum besonders verhee…,FALSE,0,,2021-05-10T15:16:05Z,FALSE,,1391774048716300294,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JungefuersKlima,2,TRUE,FALSE,,
Argument # 1 für ein JA zum CO2-Gesetz: Der sparsamere CO2-Ausstoss bremst den vor allem im Alpenraum besonders ver… https://t.co/d1PFcYqdJA,FALSE,11,,2021-05-10T14:03:39Z,TRUE,,1391755819906183173,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",alpeninitiative,2,FALSE,FALSE,,
"Lignum-Präsident und Ständerat @svpTG Jakob Stark erklärt, warum ein Ja zum #CO2Gesetz am 13. Juni sinnvoll ist.… https://t.co/WJOO0ksvk4",FALSE,11,,2021-05-10T10:10:12Z,TRUE,,1391697067937042432,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",swisscleantechD,1,FALSE,FALSE,,
RT @NeinCo2Gesetz: 120 CHF mehr pro Flug können sich nicht alle leisten. Besonders für die Jungen macht das CO2-Gesetz das Reisen schwer. D…,FALSE,0,,2021-05-13T21:33:55Z,FALSE,,1392956296362709000,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",morvjn,11,TRUE,FALSE,,
