text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
#NeinCO2Gesetz Jetzt auf dem Zieleinlauf werden die Lügen der Finanzinterresierten Befürworter immer dreister! Neue… https://t.co/6eBupYoHki,FALSE,0,,2021-06-08T19:28:54Z,TRUE,,1402346917410095104,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Hokosan2,0,FALSE,FALSE,,
"RT @MarcBuergi: Seit wann gelten eigentlich Verbote als Investitionsanreiz?!

#NeinCO2Gesetz
#NEINAgrarinitiativen https://t.co/XHHsTXlSY5",FALSE,0,,2021-06-08T11:16:05Z,FALSE,,1402222896496492546,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AndresYvonne,1,TRUE,FALSE,,
"RT @uschneiderschue: #JaCO2Gesetz - Viele JA-Stimmen sind noch notwendig! Bitte zugunsten #Klimaschutz abstimmen - 
CO2-Gesetz könnte wegen…",FALSE,0,,2021-06-10T15:46:11Z,FALSE,,1403015646028369926,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",julia_senti,4,TRUE,FALSE,,
"RT @uschneiderschue: #JaCO2Gesetz - Viele JA-Stimmen sind noch notwendig! Bitte zugunsten #Klimaschutz abstimmen - 
CO2-Gesetz könnte wegen…",FALSE,0,,2021-06-10T10:36:18Z,FALSE,,1402937660537282561,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Roman_Bolliger,4,TRUE,FALSE,,
"RT @uschneiderschue: #JaCO2Gesetz - Viele JA-Stimmen sind noch notwendig! Bitte zugunsten #Klimaschutz abstimmen - 
CO2-Gesetz könnte wegen…",FALSE,0,,2021-06-10T08:07:03Z,FALSE,,1402900100561739779,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",basiloberholzer,4,TRUE,FALSE,,
"RT @uschneiderschue: #JaCO2Gesetz - Viele JA-Stimmen sind noch notwendig! Bitte zugunsten #Klimaschutz abstimmen - 
CO2-Gesetz könnte wegen…",FALSE,0,,2021-06-09T21:00:15Z,FALSE,,1402732296847908872,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JungefuersKlima,4,TRUE,FALSE,,
"@JaCO2Gesetz @JayBadran @spschweiz @spzuerich 40 Jahre Arbeit. Ich bewundere deinen Durchhaltewillen. Danke, dass d… https://t.co/9HpDQS1tIS",FALSE,0,JaCO2Gesetz,2021-06-09T20:58:30Z,TRUE,1402597564566867968,1402731857230405632,726806560496865280,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",feldstecherin,0,FALSE,FALSE,,
"#JaCO2Gesetz - Viele JA-Stimmen sind noch notwendig! Bitte zugunsten #Klimaschutz abstimmen - 
CO2-Gesetz könnte we… https://t.co/cRu8IDAVtn",FALSE,14,,2021-06-09T16:27:10Z,TRUE,,1402663570509381632,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",uschneiderschue,4,FALSE,FALSE,,
"Ahhh ... Siehe da noch ein gewichtiger Grund mehr für das CO2-GESETZ JA einzulegen ! 

#JaCO2Gesetz
 #VoteYes… https://t.co/LMhHqzbe61",FALSE,0,,2021-06-09T13:14:27Z,TRUE,,1402615075555495940,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GilbertRossier,0,FALSE,FALSE,,
"RT @alpeninitiative: Argument # 7 für ein Ja zum #CO2Gesetz:
Die Bergbevölkerung profitiert von sparsameren Fahrzeugen, welche durch den ge…",FALSE,0,,2021-06-09T10:50:11Z,FALSE,,1402578768200441857,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ctgees,2,TRUE,FALSE,,
"RT @alpeninitiative: Schon abgestimmt? 🗳️
Auch @RegulaRytz, Nationalrätin und Vorständin der Alpen-Initiative, sagt am 13. Juni entschieden…",FALSE,0,,2021-06-09T08:35:43Z,FALSE,,1402544926487945216,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",zbindenma,4,TRUE,FALSE,,
"RT @cwasi: Jetzt NEIN zum missratenen CO2 Gesetz stimmen!
#missraten #teuer #nutzlos
—
#abst21 #CHvote #co2gesetznein 
#co2gesetzja #co2ges…",FALSE,0,,2021-06-10T21:00:44Z,FALSE,,1403094804175720458,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WinterFreeda1,36,TRUE,FALSE,,
"RT @cwasi: Jetzt NEIN zum missratenen CO2 Gesetz stimmen!
#missraten #teuer #nutzlos
—
#abst21 #CHvote #co2gesetznein 
#co2gesetzja #co2ges…",FALSE,0,,2021-06-10T20:41:38Z,FALSE,,1403089998241542147,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ChrMoergeli,36,TRUE,FALSE,,
Zum Glück ist der Termin mit der #abst21 zum #CO2Gesetz bald durch. Soviel Unwahrheiten wie die Befürworter aufgeti… https://t.co/J7oqL5Xe1r,FALSE,4,,2021-06-10T20:40:48Z,TRUE,,1403089787729420291,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mcgarrettcj,2,FALSE,FALSE,,
"RT @mcgarrettcj: Na, was meint ihr: Wird das #CO2GesetzNein angenommen?",FALSE,0,,2021-06-10T20:17:32Z,FALSE,,1403083931663093764,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RonSwiss,1,TRUE,FALSE,,
"Na, was meint ihr: Wird das #CO2GesetzNein angenommen?",FALSE,0,,2021-06-10T20:15:00Z,FALSE,,1403083294770614275,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mcgarrettcj,1,FALSE,FALSE,,
