text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @alpeninitiative: Jon Pult, Präsident der Alpen-Initiative und Nationalrat, sagt entschlossen JA zum #CO2Gesetz am 13. Juni ✊
Warum die…",FALSE,0,,2021-05-20T07:16:18Z,FALSE,,1395277185552986121,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FreiChrigel,5,TRUE,FALSE,,
bitte #JaCO2Gesetz sonst kommt der #klimaufstand so oder so • ein NEIN würde die Schweiz nicht unbeschadet überlebe… https://t.co/YmXBINrNRm,FALSE,0,,2021-05-19T19:41:00Z,TRUE,,1395102208677584898,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sebastian_hefti,0,FALSE,FALSE,,
"Ist nicht zu befürchten, dass die 3mal-Ja-hetzkampagne der ökochauvinisten vor allem auf dem land die zustimmung zu… https://t.co/gIrl04UHjS",FALSE,0,,2021-05-19T11:50:59Z,TRUE,,1394983921885093889,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sebastian_hefti,0,FALSE,FALSE,,
"RT @alpeninitiative: Jon Pult, Präsident der Alpen-Initiative und Nationalrat, sagt entschlossen JA zum #CO2Gesetz am 13. Juni ✊
Warum die…",FALSE,0,,2021-05-19T09:42:55Z,FALSE,,1394951695130677249,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",gimmasworld,5,TRUE,FALSE,,
"RT @alpeninitiative: Jon Pult, Präsident der Alpen-Initiative und Nationalrat, sagt entschlossen JA zum #CO2Gesetz am 13. Juni ✊
Warum die…",FALSE,0,,2021-05-19T09:39:41Z,FALSE,,1394950881683165186,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RizziEsther,5,TRUE,FALSE,,
"RT @alpeninitiative: Jon Pult, Präsident der Alpen-Initiative und Nationalrat, sagt entschlossen JA zum #CO2Gesetz am 13. Juni ✊
Warum die…",FALSE,0,,2021-05-19T09:39:30Z,FALSE,,1394950832974667779,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jonpult,5,TRUE,FALSE,,
"Jon Pult, Präsident der Alpen-Initiative und Nationalrat, sagt entschlossen JA zum #CO2Gesetz am 13. Juni ✊
Warum d… https://t.co/mj3tAfU6Q7",FALSE,22,,2021-05-19T08:13:37Z,TRUE,,1394929219537416195,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",alpeninitiative,5,FALSE,FALSE,,
#JaCO2Gesetz https://t.co/pAl8kmnbKq,FALSE,0,,2021-05-19T06:32:07Z,FALSE,,1394903679237599233,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sebastian_hefti,0,FALSE,FALSE,,
"Da die Gegner das Problem nicht verstehen und somit keine gute Lösungen bieten: @JaCO2Gesetz !!! 

Es wird immer te… https://t.co/TAq8dg5n04",FALSE,1,,2021-05-18T18:11:30Z,TRUE,,1394717296250310660,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CHreibmaschine,0,FALSE,FALSE,,
"✅ JA zum #CO2Gesetz!
✅ JA zum #Klimaschutz!
Jetzt abstimmen 🗳

Noch nicht sicher? Wir helfen gerne ➡… https://t.co/xt6Js9QwcL",FALSE,1,,2021-05-18T15:31:57Z,TRUE,,1394677142039011334,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",verkehrsclub,0,FALSE,FALSE,,
